year,F1-clear,Total variables-clear,# Failed variables-clear,# Failed tests-clear,# tests-clear,nse-clear,F1-brown,Total variables-brown,# Failed variables-brown,# Failed tests-brown,# tests-brown,nse-brown,F1-comb,F2-comb,nse-comb,F3-comb,F1^2+F2^2+F3^2,wqi,,,,,
1983,50.0,6,3,38,87,0.23,66.7,6,4,41,101,0.17,58.3,42.0,0.20,16.5,5439.79,57.42,,,,,
1984,66.7,6,4,40,85,0.23,66.7,6,4,46,106,0.16,66.7,45.0,0.19,16.1,6731.19,52.63,,,,,
1985,66.7,6,4,38,71,0.26,66.7,6,4,45,98,0.16,66.7,49.1,0.20,16.9,7143.08,51.20,,,,,
1986,66.7,6,4,42,80,0.28,66.7,6,4,52,111,0.21,66.7,49.2,0.24,19.3,7239.41,50.87,,,,,
1987,66.7,6,4,35,67,0.37,66.7,6,4,43,86,0.18,66.7,51.0,0.26,20.7,7472.28,50.09,,,,,
1988,80.0,5,4,42,69,0.36,66.7,6,4,54,91,0.24,72.7,60.0,0.29,22.5,9395.09,44.04,,,,,
1989,66.7,6,4,35,77,0.21,83.3,6,5,39,98,0.12,75.0,42.3,0.16,14.1,7610.62,49.63,,,,,
1990,50.0,6,3,38,86,0.24,66.7,6,4,49,112,0.16,58.3,43.9,0.20,16.3,5600.33,56.79,,,,,
1991,66.7,6,4,34,75,0.30,66.7,6,4,47,105,0.21,66.7,45.0,0.25,20.0,6870.60,52.14,,,,,
1992,50.0,6,3,35,81,0.24,50.0,6,3,31,102,0.13,50.0,36.1,0.18,15.1,4029.47,63.35,,,,,
1993,50.0,6,3,31,76,0.22,66.7,6,4,45,101,0.17,58.3,42.9,0.19,15.9,5500.48,57.18,,,,,
1994,66.7,6,4,44,81,0.37,66.7,6,4,52,101,0.26,66.7,52.7,0.31,23.6,7783.19,49.06,,,,,
1995,66.7,6,4,37,81,0.30,66.7,6,4,41,96,0.16,66.7,44.1,0.22,18.1,6714.49,52.69,,,,,
1996,80.0,5,4,52,84,0.48,66.7,6,4,64,108,0.31,72.7,60.4,0.38,27.7,9706.01,43.12,,,,,
1997,80.0,5,4,33,75,0.32,66.7,6,4,41,111,0.22,72.7,39.8,0.26,20.7,7301.29,50.67,,,,,
1998,66.7,6,4,44,81,0.39,80.0,5,4,54,100,0.30,72.7,54.1,0.34,25.5,8872.17,45.62,,,,,
1999,80.0,5,4,44,80,0.50,66.7,6,4,50,101,0.24,72.7,51.9,0.36,26.3,8676.17,46.22,,,,,
2000,66.7,6,4,41,82,0.33,66.7,6,4,44,109,0.14,66.7,44.5,0.22,18.0,6749.76,52.57,,,,,
2001,80.0,5,4,35,80,0.27,80.0,5,4,46,100,0.17,80.0,45.0,0.22,17.7,8739.17,46.03,,,,,
2002,66.7,6,4,36,81,0.25,66.7,6,4,50,102,0.18,66.7,47.0,0.21,17.5,6958.69,51.84,,,,,
2003,66.7,6,4,45,83,0.45,80.0,5,4,50,96,0.30,72.7,53.1,0.37,26.9,8830.86,45.74,,,,,
2004,66.7,6,4,37,87,0.26,66.7,6,4,45,106,0.15,66.7,42.5,0.20,16.7,6530.03,53.34,,,,,
2005,66.7,6,4,42,82,0.35,66.7,6,4,51,101,0.20,66.7,50.8,0.26,20.9,7464.52,50.12,,,,,
2006,83.3,6,5,45,77,0.45,83.3,6,5,73,102,0.30,83.3,65.9,0.36,26.5,11992.44,36.77,,,,,