Waterbody,Year,Month,Day,Chl a,,,,,
Clarks Pond,2003,Mar,12,33.4,,,,,
Clarks Pond,2003,Jun,3,8.5,,,,,
Clarks Pond,2003,Aug,12,74.6,,,,,
Clarks Pond,2006,May,10,3.2,,,,,
Clarks Pond,2006,May,24,10.0,,,,,
Clarks Pond,2006,June,7,12.2,,,,,
Clarks Pond,2006,June,21,8.8,,,,,
Clarks Pond,2006,July,5,10.4,,,,,
Clarks Pond,2006,July,19,5.3,,,,,
Clarks Pond,2006,Aug,3,18.2,,,,,
Clarks Pond,2006,Aug,16,24.4,,,,,
Clarks Pond,2006,Aug,30,7.5,,,,,
Clarks Pond,2006,Sep,14,9.0,,,,,
Clarks Pond,2006,Sep,28,32.0,,,,,
Clarks Pond,2006,Oct,11,77.2,,,,,
Clarks Pond,2006,Oct,25,14.3,,,,,
Dalvay Lake,2003,Mar,12,32.6,,,,,
Dalvay Lake,2003,Jun,3,6.4,,,,,
Dalvay Lake,2003,Aug,13,4.5,,,,,
Dalvay Lake,2005,May,12,5.1,,,,,
Dalvay Lake,2005,Aug,24,3.0,,,,,
Dalvay Lake,2006,May,9,3.3,,,,,
Dalvay Lake,2006,May,24,5.7,,,,,
Dalvay Lake,2006,June,7,7.3,,,,,
Dalvay Lake,2006,June,21,1.6,,,,,
Dalvay Lake,2006,July,5,4.0,,,,,
Dalvay Lake,2006,July,19,3.0,,,,,
Dalvay Lake,2006,Aug,3,4.5,,,,,
Dalvay Lake,2006,Aug,16,3.8,,,,,
Dalvay Lake,2006,Aug,30,3.2,,,,,
Dalvay Lake,2006,Sep,28,3.0,,,,,
Dalvay Lake,2006,Oct,11,3.5,,,,,
Dalvay Lake,2006,Oct,25,3.4,,,,,
Dalvay Lake,2007,Jun,20,2.8,,,,,
Dalvay Lake,2007,Aug,22,1.8,,,,,
Dalvay Lake,2007,Aug,29,2.0,,,,,
Dalvay Lake,2007,Oct,2,2.0,,,,,
Dalvay Lake,2007,Oct,25,3.1,,,,,
Lake of Shinging Waters,2003,Mar,12,14.5,,,,,
Lake of Shinging Waters,2003,Jun,3,9.6,,,,,
Lake of Shinging Waters,2003,Aug,12,25.1,,,,,
Lake of Shinging Waters,2004,May,14,12.5,,,,,
Lake of Shinging Waters,2005,May,12,3.2,,,,,
Lake of Shinging Waters,2005,Aug,24,6.9,,,,,
Lake of Shinging Waters,2006,May,10,42.1,,,,,
Lake of Shinging Waters,2006,May,24,65.7,,,,,
Lake of Shinging Waters,2006,June,7,13.2,,,,,
Lake of Shinging Waters,2006,June,21,3.6,,,,,
Lake of Shinging Waters,2006,July,5,19.5,,,,,
Lake of Shinging Waters,2006,July,19,5.2,,,,,
Lake of Shinging Waters,2006,Aug,3,15.1,,,,,
Lake of Shinging Waters,2006,Aug,16,51.2,,,,,
Lake of Shinging Waters,2006,Sep,14,9.0,,,,,
Lake of Shinging Waters,2006,Sep,28,13.5,,,,,
Lake of Shinging Waters,2006,Oct,11,11.2,,,,,
Lake of Shinging Waters,2006,Oct,25,2.7,,,,,
Lake of Shinging Waters,2007,Jun,20,189.0,,,,,
Lake of Shinging Waters,2007,Aug,22,7.7,,,,,
Lake of Shinging Waters,2007,Aug,29,53.3,,,,,
Lake of Shinging Waters,2007,Oct,2,25.1,,,,,
Lake of Shinging Waters,2007,Oct,23,10.9,,,,,
Long Pond Dalvay,2003,Mar,12,34.2,,,,,
Long Pond Dalvay,2003,Jun,3,12.6,,,,,
Long Pond Dalvay,2003,Aug,12,68.6,,,,,
Long Pond Dalvay,2004,May,13,12.1,,,,,
Long Pond Dalvay,2005,May,12,9.2,,,,,
Long Pond Dalvay,2005,Aug,24,6.9,,,,,
Long Pond Dalvay,2006,May,9,27.3,,,,,
Long Pond Dalvay,2006,May,24,32.3,,,,,
Long Pond Dalvay,2006,June,7,16.7,,,,,
Long Pond Dalvay,2006,June,21,9.9,,,,,
Long Pond Dalvay,2006,July,5,6.4,,,,,
Long Pond Dalvay,2006,July,19,6.7,,,,,
Long Pond Dalvay,2006,Aug,3,13.3,,,,,
Long Pond Dalvay,2006,Aug,16,8.1,,,,,
Long Pond Dalvay,2006,Aug,30,26.2,,,,,
Long Pond Dalvay,2006,Sep,14,19.7,,,,,
Long Pond Dalvay,2006,Sep,28,17.2,,,,,
Long Pond Dalvay,2006,Oct,11,24.5,,,,,
Long Pond Dalvay,2006,Oct,25,13.8,,,,,
Rollings Pond,2003,Mar,12,2.2,,,,,
Rollings Pond,2003,Jun,3,58.1,,,,,
Rollings Pond,2003,Aug,12,28.2,,,,,
Rollings Pond,2006,May,10,1.0,,,,,
Rollings Pond,2006,May,24,1.0,,,,,
Rollings Pond,2006,June,7,3.6,,,,,
Rollings Pond,2006,June,21,6.9,,,,,
Rollings Pond,2006,July,5,21.7,,,,,
Rollings Pond,2006,July,19,10.6,,,,,
Rollings Pond,2006,Aug,3,23.4,,,,,
Rollings Pond,2006,Aug,16,19.3,,,,,
Rollings Pond,2006,Aug,30,4.9,,,,,
Rollings Pond,2006,Sep,14,5.6,,,,,
Rollings Pond,2006,Sep,28,40.1,,,,,
Rollings Pond,2006,Oct,11,20.0,,,,,
Rollings Pond,2006,Oct,25,20.7,,,,,
Schooner Pond,2003,Mar,13,5.8,,,,,
Schooner Pond,2003,Jun,4,36.4,,,,,
Schooner Pond,2003,Aug,13,22.1,,,,,
Schooner Pond,2004,May,13,21.5,,,,,
Schooner Pond,2005,May,11,4.6,,,,,
Schooner Pond,2005,Aug,23,68.0,,,,,
Schooner Pond,2006,May,11,6.1,,,,,
Schooner Pond,2006,May,25,5.8,,,,,
Schooner Pond,2006,June,8,6.0,,,,,
Schooner Pond,2006,June,20,98.3,,,,,
Schooner Pond,2006,July,6,95.7,,,,,
Schooner Pond,2006,July,20,38.3,,,,,
Schooner Pond,2006,Aug,2,9.1,,,,,
Schooner Pond,2006,Aug,17,48.0,,,,,
Schooner Pond,2006,Aug,31,24.3,,,,,
Schooner Pond,2006,Sep,13,49.0,,,,,
Schooner Pond,2006,Sep,27,2.5,,,,,
Schooner Pond,2006,Oct,12,4.9,,,,,
Schooner Pond,2006,Oct,26,5.6,,,,,
Schooner Pond,2007,Jun,21,26.2,,,,,
Schooner Pond,2007,Aug,23,7.3,,,,,
Schooner Pond,2007,Aug,30,5.0,,,,,
Schooner Pond,2007,Oct,3,4.7,,,,,
Schooner Pond,2007,Oct,24,4.5,,,,,