Waterbody,Year,Shoreline Sector,Gear Type,American Eel CUE
Lake of Shining Waters,2006,2,fyke,12
Lake of Shining Waters,2006,4,fyke,4
Lake of Shining Waters,2006,5,fyke,17
Lake of Shining Waters,2006,8,fyke,2
Lake of Shining Waters,2006,8,fyke,3
Lake of Shining Waters,2006,9,fyke,2
Lake of Shining Waters,2006,10,fyke,0
Lake of Shining Waters,2006,11,fyke,1
Lake of Shining Waters,2006,12,fyke,2
Lake of Shining Waters,2006,12,fyke,0
Lake of Shining Waters,2006,13,fyke,4
Lake of Shining Waters,2006,13,fyke,6
Lake of Shining Waters,2006,15,fyke,0
Lake of Shining Waters,2006,16,fyke,8
Lake of Shining Waters,2006,17,fyke,2
Lake of Shining Waters,2006,18,fyke,10
Lake of Shining Waters,2006,19,fyke,6
Lake of Shining Waters,2006,20,fyke,8
Lake of Shining Waters,2006,20,fyke,0
Lake of Shining Waters,2006,20,fyke,0
Lake of Shining Waters,2006,21,fyke,7
Lake of Shining Waters,2006,21,fyke,0
Lake of Shining Waters,2006,22,fyke,11
Lake of Shining Waters,2006,22,fyke,26
Long Pond Dalvay,2006,1,fyke,0
Long Pond Dalvay,2006,2,fyke,1
Long Pond Dalvay,2006,3,fyke,0
Long Pond Dalvay,2006,4,fyke,4
Long Pond Dalvay,2006,5,fyke,2
Long Pond Dalvay,2006,8,fyke,1
Long Pond Dalvay,2006,9,fyke,1
Long Pond Dalvay,2006,10,fyke,0
Long Pond Dalvay,2006,10,fyke,0
Long Pond Dalvay,2006,11,fyke,0
Long Pond Dalvay,2006,12,fyke,1
Long Pond Dalvay,2006,13,fyke,0
Long Pond Dalvay,2006,14,fyke,0
Long Pond Dalvay,2006,15,fyke,2
Long Pond Dalvay,2006,16,fyke,1
Long Pond Dalvay,2006,17,fyke,0
Long Pond Dalvay,2006,22,fyke,0
Long Pond Dalvay,2006,24,fyke,0
Long Pond Dalvay,2006,24,fyke,0
Long Pond Dalvay,2006,25,fyke,0
Long Pond Dalvay,2006,26,fyke,0
Long Pond Dalvay,2006,26,fyke,0
Long Pond Dalvay,2006,27,fyke,3
Long Pond Dalvay,2006,28,fyke,0